title,show_type,episodes,premiered,studios,source,genres,theme,age_rating,score,ranking,popularity_rank
Kaguya-sama: Love is War - Ultra Romantic,TV,13,Spring 2022,A-1 Pictures,Manga,"Comedy, Suspense","Psychological, Romantic Subtext, School",PG-13 - Teens 13 or older,9.141,12,290
Fullmetal Alchemist: Brotherhood,TV,64,Spring 2009,Bones,Manga,"Action, Adventure, Drama, Fantasy",Military,R - 17+ (violence & profanity),9.131,22,3
Gintama Season 4,TV,51,Spring 2015,Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.081,32,338
Steins;Gate,TV,24,Spring 2011,White Fox,Visual novel,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",PG-13 - Teens 13 or older,9.081,42,13
Attack on Titan Season 3 Part 2,TV,10,Spring 2019,Wit Studio,Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),9.071,52,28
Gintama Season 2,TV,51,Spring 2011,Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.051,62,381
Gintama: Enchousen,TV,13,Fall 2012,Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.041,72,698
Gintama: The Very Final,Movie,1,Winter 2021,Bandai Namco Pictures,Manga,"Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.041,82,1678
Hunter x Hunter,TV,148,Fall 2011,Madhouse,Manga,"Action, Adventure, Fantasy",,PG-13 - Teens 13 or older,9.041,92,10
Fruits Basket: The Final Season,TV,13,Spring 2021,TMS Entertainment,Manga,"Drama, Romance, Supernatural",,PG-13 - Teens 13 or older,9.031,102,522
Legend of the Galactic Heroes,OVA,110,Winter 1988,Kitty Film Mitaka Studio,Novel,"Drama, Sci-Fi","Adult Cast, Military, Space",R - 17+ (violence & profanity),9.031,112,704
Gintama Season 5,TV,12,Winter 2017,Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.991,122,737
March Comes In Like A Lion 2nd Season,TV,22,Fall 2017,Shaft,Manga,"Drama, Slice of Life","Childcare, Iyashikei, Strategy Game",PG-13 - Teens 13 or older,8.951,132,531
Gintama,TV,201,Spring 2006,Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.951,142,131
A Silent Voice,Movie,1,Fall 2016,Kyoto Animation,Manga,Drama,Romantic Subtext,PG-13 - Teens 13 or older,8.951,152,18
Clannad ~After Story~,TV,24,Fall 2008,Kyoto Animation,Visual novel,"Drama, Romance, Supernatural",,PG-13 - Teens 13 or older,8.941,162,106
Violet Evergarden the Movie,Movie,1,Fall 2020,Kyoto Animation,Light novel,"Drama, Fantasy, Slice of Life",,PG-13 - Teens 13 or older,8.941,172,403
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Summer 2013,Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai, Time Travel",PG-13 - Teens 13 or older,8.931,182,943
Code Geass: Lelouch of the Rebellion R2,TV,25,Spring 2008,Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military, Super Power",R - 17+ (violence & profanity),8.911,192,47
Owarimonogatari Second Season,TV,7,Summer 2017,Shaft,Light novel,"Comedy, Mystery, Supernatural",Vampire,R - 17+ (violence & profanity),8.901,202,540
Gintama.: Silver Soul Arc - Second Half War,TV,14,Summer 2018,Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.881,212,1193
Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,TV,11,Winter 2022,ufotable,Manga,"Action, Fantasy",Historical,R - 17+ (violence & profanity),8.861,222,137
Your Name.,Movie,1,Summer 2016,CoMix Wave Films,Original,"Drama, Supernatural",Romantic Subtext,PG-13 - Teens 13 or older,8.861,232,11
Monster,TV,74,Spring 2004,Madhouse,Manga,"Drama, Mystery, Suspense","Adult Cast, Psychological",R+ - Mild Nudity,8.841,242,152
Attack on Titan: The Final Season,TV,16,Winter 2021,MAPPA,Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),8.831,252,44
Attack on Titan: The Final Season Part 2,TV,12,Winter 2022,MAPPA,Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),8.821,262,147
Spy x Family,TV,12,Spring 2022,"Wit Studio, CloverWorks",Manga,"Action, Comedy",Childcare,PG-13 - Teens 13 or older,8.821,272,141
Kingdom: Season 3,TV,26,Spring 2020,"Pierrot, Studio Signpost",Manga,Action,"Historical, Military",R - 17+ (violence & profanity),8.821,282,2154
Gintama.: Silver Soul Arc,TV,12,Winter 2018,Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.811,292,1093
Mob Psycho 100 II,TV,13,Winter 2019,Bones,Web manga,"Action, Comedy, Supernatural",Super Power,PG-13 - Teens 13 or older,8.811,302,83
Kingdom Season 4,TV,26,Spring 2022,"Pierrot, Studio Signpost",Manga,Action,"Historical, Military",R - 17+ (violence & profanity),8.801,312,3368
Kizumonogatari Part 3: Cold-Blooded,Movie,1,Winter 2017,Shaft,Light novel,"Action, Mystery, Supernatural",Vampire,R - 17+ (violence & profanity),8.801,322,460
Haikyu!! 3rd Season,TV,10,Fall 2016,Production I.G,Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,8.791,332,112
Link Click,ONA,11,Spring 2021,Studio LAN,Original,"Drama, Supernatural",Time Travel,PG-13 - Teens 13 or older,8.791,342,903
Spirited Away,Movie,1,Summer 2001,Studio Ghibli,Original,"Adventure, Award Winning, Supernatural",Mythology,PG - Children,8.781,352,43
Monogatari Series: Second Season,TV,26,Summer 2013,Shaft,Light novel,"Comedy, Mystery, Romance, Supernatural",Vampire,R - 17+ (violence & profanity),8.771,362,276
Made in Abyss: The Golden City of the Scorching Sun,TV,12,Summer 2022,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",,R - 17+ (violence & profanity),8.761,372,908
Cowboy Bebop,TV,26,Spring 1998,Sunrise,Original,"Action, Sci-Fi","Adult Cast, Space",R - 17+ (violence & profanity),8.751,382,42
Fighting Spirit,TV,75,Fall 2000,Madhouse,Manga,Sports,Combat Sports,PG-13 - Teens 13 or older,8.751,392,374
Descending Stories: Showa Genroku Rakugo Shinju,TV,12,Winter 2017,Studio Deen,Manga,Drama,"Adult Cast, Historical, Love Polygon, Performing Arts",PG-13 - Teens 13 or older,8.751,402,1162
Mushi-shi: Next Passage Part 2,TV,10,Fall 2014,Artland,Manga,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",PG-13 - Teens 13 or older,8.741,412,832
Mushoku Tensei: Jobless Reincarnation Part 2,TV,12,Fall 2021,Studio Bind,Light novel,"Drama, Fantasy, Ecchi","Isekai, Reincarnation",R - 17+ (violence & profanity),8.731,422,274
Odd Taxi,TV,13,Spring 2021,"OLM, P.I.C.S.",Original,Mystery,Anthropomorphic,PG-13 - Teens 13 or older,8.731,432,603
Vinland Saga,TV,24,Summer 2019,Wit Studio,Manga,"Action, Adventure, Drama",Historical,R - 17+ (violence & profanity),8.731,442,98
Samurai X: Trust and Betrayal,OVA,4,Winter 1999,Studio Deen,Manga,"Action, Drama, Romance","Adult Cast, Historical, Martial Arts, Samurai",R - 17+ (violence & profanity),8.711,452,777
86 Eighty-Six Part 2,TV,12,Fall 2021,A-1 Pictures,Light novel,"Action, Drama, Sci-Fi","Mecha, Military",R - 17+ (violence & profanity),8.711,462,595
Tomorrow's Joe 2,TV,47,Fall 1980,Tokyo Movie Shinsha,Manga,"Action, Drama, Slice of Life, Sports",Combat Sports,PG-13 - Teens 13 or older,8.711,472,2935
Fate/stay night: Heaven's Feel - III. Spring Song,Movie,1,Summer 2020,ufotable,Visual novel,"Action, Fantasy, Supernatural",,R - 17+ (violence & profanity),8.711,482,708
Code Geass: Lelouch of the Rebellion,TV,25,Fall 2006,Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military, School, Super Power",R - 17+ (violence & profanity),8.701,492,17
Mushi-shi: Next Passage Part 1,TV,10,Spring 2014,Artland,Manga,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",PG-13 - Teens 13 or older,8.701,502,740
Great Teacher Onizuka,TV,43,Summer 1999,Pierrot,Manga,"Comedy, Drama","Delinquents, School, Workplace",R - 17+ (violence & profanity),8.691,512,215
Jujutsu Kaisen,TV,24,Fall 2020,MAPPA,Manga,"Action, Fantasy",School,R - 17+ (violence & profanity),8.681,522,24
The Founder of Diabolism Season 3,ONA,12,Summer 2021,B.CMAY PICTURES,Web novel,"Action, Drama, Supernatural","Historical, Mythology",R - 17+ (violence & profanity),8.681,532,2466
Princess Mononoke,Movie,1,Summer 1997,Studio Ghibli,Original,"Action, Adventure, Fantasy",,PG-13 - Teens 13 or older,8.671,542,103
Mushi-Shi,TV,26,Fall 2005,Artland,Manga,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",PG-13 - Teens 13 or older,8.671,552,203
Violet Evergarden,TV,13,Winter 2018,Kyoto Animation,Light novel,"Drama, Fantasy, Slice of Life",,PG-13 - Teens 13 or older,8.671,562,51
Made in Abyss,TV,13,Summer 2017,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",,R - 17+ (violence & profanity),8.671,572,93
Fighting Spirit: New Challenger,TV,26,Winter 2009,Madhouse,Manga,Sports,Combat Sports,PG-13 - Teens 13 or older,8.661,582,810
Howl's Moving Castle,Movie,1,Fall 2004,Studio Ghibli,Novel,"Adventure, Drama, Fantasy, Romance",,G - All Ages,8.661,592,94
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Movie,1,Fall 2020,ufotable,Manga,"Action, Fantasy",Historical,R - 17+ (violence & profanity),8.661,602,89
Made in Abyss: Dawn of the Deep Soul,Movie,1,Winter 2020,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",,R - 17+ (violence & profanity),8.661,612,556
One Piece,TV,Unknown,Fall 1999,Toei Animation,Manga,"Action, Adventure, Fantasy",,PG-13 - Teens 13 or older,8.661,622,25
Your Lie in April,TV,22,Fall 2014,A-1 Pictures,Manga,"Drama, Romance","Music, School",PG-13 - Teens 13 or older,8.661,632,21
Natsume's Book of Friends Season 4,TV,13,Winter 2012,Brain's Base,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",PG-13 - Teens 13 or older,8.651,642,899
Kaguya-sama: Love is War Season 2,TV,12,Spring 2020,A-1 Pictures,Manga,Comedy,"Psychological, Romantic Subtext, School",PG-13 - Teens 13 or older,8.651,652,100
Haikyu!! 2nd Season,TV,25,Fall 2015,Production I.G,Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,8.641,662,84
Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1,Spring 2021,Khara,Original,"Action, Drama, Sci-Fi","Mecha, Psychological",PG-13 - Teens 13 or older,8.631,672,657
Natsume's Book of Friends Season 6,TV,11,Spring 2017,Shuka,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",PG-13 - Teens 13 or older,8.631,682,1198
Gurren Lagann,TV,27,Spring 2007,Gainax,Original,"Action, Adventure, Comedy, Sci-Fi",Mecha,PG-13 - Teens 13 or older,8.631,692,61
Ping Pong the Animation,TV,11,Spring 2014,Tatsunoko Production,Manga,"Drama, Sports",,PG-13 - Teens 13 or older,8.621,702,552
Rascal Does Not Dream of a Dreaming Girl,Movie,1,Summer 2019,CloverWorks,Light novel,"Drama, Romance, Supernatural",School,PG-13 - Teens 13 or older,8.621,712,295
Attack on Titan Season 3,TV,12,Summer 2018,Wit Studio,Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),8.621,722,19
The Disappearance of Haruhi Suzumiya,Movie,1,Winter 2010,Kyoto Animation,Light novel,"Mystery, Sci-Fi, Supernatural",School,PG-13 - Teens 13 or older,8.621,732,321
Death Note,TV,37,Fall 2006,Madhouse,Manga,"Supernatural, Suspense",Psychological,R - 17+ (violence & profanity),8.621,742,2
Ranking of Kings,TV,23,Fall 2021,Wit Studio,Web manga,"Adventure, Fantasy",,PG-13 - Teens 13 or older,8.611,752,422
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,Spring 2015,Artland,Manga,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural","Adult Cast, Historical, Iyashikei",PG-13 - Teens 13 or older,8.601,762,1574
Wolf Children,Movie,1,Summer 2012,Studio Chizu,Original,"Fantasy, Slice of Life",Childcare,G - All Ages,8.591,772,208
Hajime No Ippo: The Fighting!,TV,25,Fall 2013,"Madhouse, MAPPA",Manga,Sports,Combat Sports,PG-13 - Teens 13 or older,8.591,782,916
Kizumonogatari Part 2: Hot-Blooded,Movie,1,Summer 2016,Shaft,Light novel,"Action, Mystery, Supernatural",Vampire,R - 17+ (violence & profanity),8.591,792,470
JoJo's Bizarre Adventure: Golden Wind,TV,39,Fall 2018,David Production,Manga,"Action, Adventure",Organized Crime,R - 17+ (violence & profanity),8.581,802,157
Natsume's Book of Friends Season 5,TV,11,Fall 2016,Shuka,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",PG-13 - Teens 13 or older,8.581,812,1206
Natsume's Book of Friends Season 3,TV,13,Summer 2011,Brain's Base,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",PG-13 - Teens 13 or older,8.581,822,864
Showa Genroku Rakugo Shinju,TV,13,Winter 2016,Studio Deen,Manga,Drama,"Historical, Love Polygon, Performing Arts",PG-13 - Teens 13 or older,8.581,832,753
Gurren Lagann The Movie: The Lights in the Sky are Stars,Movie,1,Spring 2009,Gainax,Original,"Action, Sci-Fi","Mecha, Space, Super Power",R+ - Mild Nudity,8.571,842,1018
The Tatami Galaxy,TV,11,Spring 2010,Madhouse,Novel,"Comedy, Mystery, Romance","Psychological, Time Travel",R - 17+ (violence & profanity),8.571,852,473
Fruits Basket 2nd Season,TV,25,Spring 2020,TMS Entertainment,Manga,"Drama, Romance, Supernatural",,PG-13 - Teens 13 or older,8.571,862,455
Fate/Zero Season 2,TV,12,Spring 2012,ufotable,Light novel,"Action, Fantasy, Supernatural",,R - 17+ (violence & profanity),8.561,872,120
I Want To Eat Your Pancreas,Movie,1,Fall 2018,Studio VOLN,Novel,"Drama, Romance, Slice of Life",,PG-13 - Teens 13 or older,8.561,882,182
Shoujo☆Kageki Revue Starlight Movie,Movie,1,Summer 2021,Kinema Citrus,Original,,"Music, Performing Arts, School",PG-13 - Teens 13 or older,8.561,892,5393
Neon Genesis Evangelion: The End of Evangelion,Movie,1,Summer 1997,"Gainax, Production I.G",Original,"Avant Garde, Drama, Sci-Fi","Mecha, Psychological",R+ - Mild Nudity,8.551,902,174
Natsume's Book of Friends Season 2,TV,13,Winter 2009,Brain's Base,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",PG-13 - Teens 13 or older,8.551,912,874
Mushi-shi: The Shadow that Devours the Sun,Special,1,Winter 2014,Artland,Manga,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural","Historical, Iyashikei",PG-13 - Teens 13 or older,8.541,922,1476
Slam Dunk,TV,101,Fall 1993,Toei Animation,Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,8.541,932,775
The Promised Neverland,TV,12,Winter 2019,CloverWorks,Manga,"Mystery, Sci-Fi, Suspense","Psychological, Survival",R - 17+ (violence & profanity),8.541,942,39
Bakuman Season 3,TV,25,Fall 2012,J.C.Staff,Manga,"Comedy, Drama, Romance",Otaku Culture,PG-13 - Teens 13 or older,8.541,952,634
Fruits Basket: Prelude,Movie,1,Winter 2022,TMS Entertainment,Manga,"Drama, Romance",,PG-13 - Teens 13 or older,8.531,962,2355
Haikyu!! TO THE TOP 2nd-cour,TV,12,Fall 2020,Production I.G,Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,8.541,972,243
The Garden of Sinners Chapter 5: Paradox Spiral,Movie,1,Summer 2008,ufotable,Light novel,"Action, Drama, Mystery, Romance, Supernatural, Suspense",,R - 17+ (violence & profanity),8.541,982,910
Berserk,TV,25,Fall 1997,OLM,Manga,"Action, Adventure, Drama, Fantasy, Horror, Supernatural","Gore, Military, Mythology",R+ - Mild Nudity,8.541,992,335
Demon Slayer: Kimetsu no Yaiba,TV,26,Spring 2019,ufotable,Manga,"Action, Fantasy",Historical,R - 17+ (violence & profanity),8.541,1002,9
Gintama.: Slip Arc,TV,13,Fall 2017,Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.531,1012,1116
Perfect Blue,Movie,1,Winter 1998,Madhouse,Novel,"Avant Garde, Drama, Horror","Adult Cast, Psychological, Showbiz",R+ - Mild Nudity,8.531,1022,311
Attack on Titan,TV,25,Spring 2013,Wit Studio,Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),8.531,1032,1
A Place Further Than The Universe,TV,13,Winter 2018,Madhouse,Original,"Adventure, Comedy, Drama",,PG-13 - Teens 13 or older,8.531,1042,419
